ts_code,symbol,name,area,industry,xueqiu_url
000001.SZ,000001,平安银行,深圳,银行,https://xueqiu.com/S/SZ000001
000002.SZ,000002,万科A,深圳,全国地产,https://xueqiu.com/S/SZ000002
000009.SZ,000009,中国宝安,深圳,电气设备,https://xueqiu.com/S/SZ000009
000021.SZ,000021,深科技,深圳,元器件,https://xueqiu.com/S/SZ000021
000027.SZ,000027,深圳能源,深圳,火力发电,https://xueqiu.com/S/SZ000027
000032.SZ,000032,深桑达A,深圳,建筑工程,https://xueqiu.com/S/SZ000032
000034.SZ,000034,神州数码,深圳,软件服务,https://xueqiu.com/S/SZ000034
000039.SZ,000039,中集集团,深圳,运输设备,https://xueqiu.com/S/SZ000039
000050.SZ,000050,深天马A,深圳,元器件,https://xueqiu.com/S/SZ000050
000060.SZ,000060,中金岭南,深圳,铅锌,https://xueqiu.com/S/SZ000060
000062.SZ,000062,深圳华强,深圳,元器件,https://xueqiu.com/S/SZ000062
000063.SZ,000063,中兴通讯,深圳,通信设备,https://xueqiu.com/S/SZ000063
000088.SZ,000088,盐田港,深圳,港口,https://xueqiu.com/S/SZ000088
000100.SZ,000100,TCL科技,广东,元器件,https://xueqiu.com/S/SZ000100
000155.SZ,000155,川能动力,四川,新型电力,https://xueqiu.com/S/SZ000155
000157.SZ,000157,中联重科,湖南,工程机械,https://xueqiu.com/S/SZ000157
000166.SZ,000166,申万宏源,新疆,证券,https://xueqiu.com/S/SZ000166
000301.SZ,000301,东方盛虹,江苏,化纤,https://xueqiu.com/S/SZ000301
000333.SZ,000333,美的集团,广东,家用电器,https://xueqiu.com/S/SZ000333
000338.SZ,000338,潍柴动力,山东,汽车配件,https://xueqiu.com/S/SZ000338
000400.SZ,000400,许继电气,河南,电气设备,https://xueqiu.com/S/SZ000400
000408.SZ,000408,藏格矿业,青海,农药化肥,https://xueqiu.com/S/SZ000408
000415.SZ,000415,渤海租赁,新疆,多元金融,https://xueqiu.com/S/SZ000415
000423.SZ,000423,东阿阿胶,山东,中成药,https://xueqiu.com/S/SZ000423
000425.SZ,000425,徐工机械,江苏,工程机械,https://xueqiu.com/S/SZ000425
000426.SZ,000426,兴业银锡,内蒙,铅锌,https://xueqiu.com/S/SZ000426
000429.SZ,000429,粤高速A,广东,路桥,https://xueqiu.com/S/SZ000429
