ts_code,symbol,name,area,industry,xueqiu_url
000001.SZ,000001,平安银行,深圳,银行,https://xueqiu.com/S/SZ000001
000002.SZ,000002,万科A,深圳,全国地产,https://xueqiu.com/S/SZ000002
000004.SZ,000004,*ST国华,深圳,软件服务,https://xueqiu.com/S/SZ000004
000006.SZ,000006,深振业A,深圳,区域地产,https://xueqiu.com/S/SZ000006
000007.SZ,000007,全新好,深圳,其他商业,https://xueqiu.com/S/SZ000007
000008.SZ,000008,神州高铁,北京,运输设备,https://xueqiu.com/S/SZ000008
000009.SZ,000009,中国宝安,深圳,电气设备,https://xueqiu.com/S/SZ000009
000010.SZ,000010,美丽生态,深圳,建筑工程,https://xueqiu.com/S/SZ000010
000011.SZ,000011,深物业A,深圳,房产服务,https://xueqiu.com/S/SZ000011
000012.SZ,000012,南玻A,深圳,玻璃,https://xueqiu.com/S/SZ000012
000014.SZ,000014,沙河股份,深圳,全国地产,https://xueqiu.com/S/SZ000014
000016.SZ,000016,深康佳A,深圳,家用电器,https://xueqiu.com/S/SZ000016
000017.SZ,000017,深中华A,深圳,服饰,https://xueqiu.com/S/SZ000017
000019.SZ,000019,深粮控股,深圳,农业综合,https://xueqiu.com/S/SZ000019
000020.SZ,000020,深华发A,深圳,元器件,https://xueqiu.com/S/SZ000020
000021.SZ,000021,深科技,深圳,元器件,https://xueqiu.com/S/SZ000021
000025.SZ,000025,特力A,深圳,综合类,https://xueqiu.com/S/SZ000025
000026.SZ,000026,飞亚达,深圳,服饰,https://xueqiu.com/S/SZ000026
000027.SZ,000027,深圳能源,深圳,火力发电,https://xueqiu.com/S/SZ000027
000028.SZ,000028,国药一致,深圳,医药商业,https://xueqiu.com/S/SZ000028
000029.SZ,000029,深深房A,深圳,区域地产,https://xueqiu.com/S/SZ000029
000030.SZ,000030,富奥股份,吉林,汽车配件,https://xueqiu.com/S/SZ000030
000031.SZ,000031,大悦城,深圳,全国地产,https://xueqiu.com/S/SZ000031
000032.SZ,000032,深桑达A,深圳,建筑工程,https://xueqiu.com/S/SZ000032
000034.SZ,000034,神州数码,深圳,软件服务,https://xueqiu.com/S/SZ000034
000035.SZ,000035,中国天楹,江苏,环境保护,https://xueqiu.com/S/SZ000035
000036.SZ,000036,华联控股,深圳,全国地产,https://xueqiu.com/S/SZ000036
