ts_code,symbol,name,area,industry,xueqiu_url
000001.SZ,000001,平安银行,深圳,银行,https://xueqiu.com/S/SZ000001
000066.SZ,000066,中国长城,深圳,IT设备,https://xueqiu.com/S/SZ000066
000158.SZ,000158,常山北明,河北,软件服务,https://xueqiu.com/S/SZ000158
000301.SZ,000301,东方盛虹,江苏,化纤,https://xueqiu.com/S/SZ000301
000333.SZ,000333,美的集团,广东,家用电器,https://xueqiu.com/S/SZ000333
000400.SZ,000400,许继电气,河南,电气设备,https://xueqiu.com/S/SZ000400
000408.SZ,000408,藏格矿业,青海,农药化肥,https://xueqiu.com/S/SZ000408
000415.SZ,000415,渤海租赁,新疆,多元金融,https://xueqiu.com/S/SZ000415
000426.SZ,000426,兴业银锡,内蒙,铅锌,https://xueqiu.com/S/SZ000426
000505.SZ,000505,京粮控股,海南,食品,https://xueqiu.com/S/SZ000505
000513.SZ,000513,丽珠集团,广东,化学制药,https://xueqiu.com/S/SZ000513
000547.SZ,000547,航天发展,福建,通信设备,https://xueqiu.com/S/SZ000547
000559.SZ,000559,万向钱潮,浙江,汽车配件,https://xueqiu.com/S/SZ000559
000568.SZ,000568,泸州老窖,四川,白酒,https://xueqiu.com/S/SZ000568
000572.SZ,000572,海马汽车,海南,汽车整车,https://xueqiu.com/S/SZ000572
000582.SZ,000582,北部湾港,广西,港口,https://xueqiu.com/S/SZ000582
000630.SZ,000630,铜陵有色,安徽,铜,https://xueqiu.com/S/SZ000630
000657.SZ,000657,中钨高新,海南,小金属,https://xueqiu.com/S/SZ000657
000733.SZ,000733,振华科技,贵州,元器件,https://xueqiu.com/S/SZ000733
000738.SZ,000738,航发控制,江苏,航空,https://xueqiu.com/S/SZ000738
000768.SZ,000768,中航西飞,陕西,航空,https://xueqiu.com/S/SZ000768
000776.SZ,000776,广发证券,广东,证券,https://xueqiu.com/S/SZ000776
000807.SZ,000807,云铝股份,云南,铝,https://xueqiu.com/S/SZ000807
